id,first_name,middle_name,last_name,birth_date,gender,document_id,current_status,enrollment_date,graduation_date,phone_number
65,Ким,Дмитриевна,Селиверстова,2011-09-04,male,5631 933429,enrolled,2011-09-01,,+74025281380
66,Павел,Ааронович,Ефимов,2014-02-08,male,5028 328922,enrolled,2011-09-01,,+75648418598
67,Валерия,Вячеславович,Гришин,2011-02-16,female,9142 188504,enrolled,2011-09-01,,+75659492598
68,Виталий,Арсенович,Третьякова,2017-08-02,male,4465 599327,enrolled,2011-09-01,,+78280076032
69,Болеслав,Эдгардович,Гурьева,2010-03-31,male,9093 776375,enrolled,2011-09-01,,+73033870056
70,Гурий,Исидорович,Давыдова,2010-12-16,male,8793 845671,enrolled,2011-09-01,,+79913638742
71,Орест,Артемьевич,Стрелкова,2009-03-22,male,8285 823119,enrolled,2011-09-01,,+79157824239
72,Милован,Яковлевна,Бурова,2011-01-03,male,8191 765142,enrolled,2011-09-01,,+74705998890
73,Виссарион,Тарасович,Никитина,2013-09-27,male,8891 579022,enrolled,2011-09-01,,+73742838013
74,Клавдий,Григорьевна,Рыбаков,2011-05-08,male,7150 758378,enrolled,2011-09-01,,+79167700363
75,Твердислав,Жоресович,Игнатов,2013-02-19,male,5351 357822,enrolled,2011-09-01,,+78690076519
76,Дарья,Феоктистович,Лихачев,2007-07-28,female,6663 786934,enrolled,2011-09-01,,+79874183551
77,Леонид,Давидович,Степанова,2018-11-02,male,5563 999261,enrolled,2011-09-01,,+77419050592
78,Зоя,Валентинович,Овчинникова,2018-12-15,female,7847 388648,enrolled,2011-09-01,,+73740327781
79,Светлана,Федосьевич,Тетерин,2009-10-09,female,9074 350226,enrolled,2011-09-01,,+75118883086
80,Антонина,Фролович,Петров,2016-03-05,female,3095 335175,enrolled,2011-09-01,,+73510704672
81,Лукия,Брониславович,Хохлов,2009-01-31,female,5752 500482,enrolled,2011-09-01,,+74835232954
82,Анжела,Руслановна,Филиппов,2013-05-21,female,9723 507552,enrolled,2011-09-01,,+70403901628
83,Агата,Феодосьевич,Русаков,2008-02-06,female,5708 336330,enrolled,2011-09-01,,+76177580643
84,Клавдия,Ильинична,Корнилов,2017-05-20,female,8369 745660,enrolled,2011-09-01,,+73872995315
85,Аверьян,Оскаровна,Федотова,2018-11-13,male,3941 938558,enrolled,2011-09-01,,+78523436359
86,Алевтина,Викторович,Кудряшов,2014-12-03,female,3297 634229,enrolled,2011-09-01,,+73534184055
87,Ян,Анатольевич,Емельянова,2017-01-20,male,8783 508464,enrolled,2011-09-01,,+74041662646
88,Алла,Германович,Брагин,2012-12-23,female,6487 299079,enrolled,2011-09-01,,+72900950061
89,Лазарь,Еремеевич,Щербакова,2018-07-08,male,2910 887589,enrolled,2011-09-01,,+76354104372
90,Руслан,Герасимович,Макарова,2014-01-25,male,4471 109307,enrolled,2011-09-01,,+71997819301
91,Нифонт,Елисеевич,Евдокимова,2008-02-04,male,9006 234330,enrolled,2011-09-01,,+79298428056
92,Ростислав,Фомич,Сазонова,2010-12-26,male,9419 944071,enrolled,2011-09-01,,+78964135085
93,Антонин,Леоновна,Никонов,2010-06-02,male,2228 804565,enrolled,2011-09-01,,+71350385295
94,Эммануил,Валерьянович,Гусев,2018-08-25,male,4100 315216,enrolled,2011-09-01,,+72629800647
95,Иосиф,Федотович,Макарова,2011-10-04,male,8923 224018,enrolled,2011-09-01,,+78239755400
96,Вероника,Арсенович,Ефимова,2013-07-24,female,8290 327752,enrolled,2011-09-01,,+74075729671
97,Пров,Тарасовна,Русакова,2018-06-07,male,2110 949337,enrolled,2011-09-01,,+74838512928
98,Иосиф,Антипович,Комаров,2016-10-06,male,5810 412248,enrolled,2011-09-01,,+75479460813
99,Пахом,Владиславовна,Осипова,2016-08-09,male,1919 808918,enrolled,2012-09-01,,+79507018073
100,Варвара,Рубеновна,Казаков,2011-10-06,female,9137 398074,enrolled,2012-09-01,,+77165786727
101,Светлана,Андреевна,Зимина,2018-09-27,female,3145 138389,enrolled,2012-09-01,,+79135960662
102,Дарья,Владленович,Семенов,2009-10-19,female,5213 511229,enrolled,2012-09-01,,+70149763369
103,Ольга,Венедиктович,Давыдова,2010-03-08,female,1712 470367,enrolled,2012-09-01,,+77448868395
104,Екатерина,Гурьевич,Евсеева,2008-09-04,female,1816 857978,enrolled,2012-09-01,,+78155075452
105,Андроник,Фролович,Романова,2012-07-25,male,7676 498545,enrolled,2012-09-01,,+70743304809
106,Галина,Эдгардович,Котова,2018-06-06,female,9079 823911,enrolled,2012-09-01,,+74580610242
107,Марк,Богданович,Ермакова,2019-04-20,male,4341 774686,enrolled,2012-09-01,,+77724959601
108,Антонина,Альбертовна,Орлов,2013-05-14,female,9781 950436,enrolled,2012-09-01,,+75187410410
109,Федот,Аркадьевна,Громов,2008-08-20,male,5369 510367,enrolled,2012-09-01,,+76860701794
110,Глафира,Харитоновна,Галкин,2009-08-04,female,8521 563626,enrolled,2012-09-01,,+79510371313
111,Панкрат,Денисович,Васильев,2014-05-23,male,3579 393400,enrolled,2012-09-01,,+73012581922
112,Синклитикия,Иосипович,Веселова,2016-04-06,female,2536 826274,enrolled,2012-09-01,,+72138480180
113,Павел,Леоновна,Авдеева,2018-11-12,male,8815 676326,enrolled,2012-09-01,,+78297770976
114,Клавдия,Анисимович,Пестова,2019-02-12,female,9376 315020,enrolled,2012-09-01,,+78581334660
115,Эмилия,Аркадьевна,Якушев,2011-03-02,female,1362 312512,enrolled,2012-09-01,,+76116057701
116,Вера,Абрамович,Никитин,2015-12-13,female,5712 440123,enrolled,2012-09-01,,+73536169620
117,Глафира,Святославовна,Смирнова,2016-11-12,female,8077 927774,enrolled,2012-09-01,,+73769596630
118,Лидия,Фролович,Фомичева,2015-04-12,female,1102 345324,enrolled,2012-09-01,,+72758652854
119,Эмиль,Аскольдовна,Самойлова,2013-03-13,male,8034 827243,enrolled,2012-09-01,,+78519564416
120,Игнатий,Евсеевич,Кузнецов,2014-07-28,male,2107 908989,enrolled,2012-09-01,,+75161810202
121,Валентин,Архипович,Комаров,2011-04-01,male,7178 457409,enrolled,2012-09-01,,+73113554268
122,Ольга,Руслановна,Крылов,2013-06-05,female,4541 215115,enrolled,2012-09-01,,+70134813430
123,Вероника,Фокич,Сорокина,2015-05-16,female,4462 393582,enrolled,2012-09-01,,+78246595105
124,Ирина,Евстигнеевич,Тимофеева,2012-02-10,female,7753 595029,enrolled,2012-09-01,,+70992702139
125,Татьяна,Елисеевич,Меркушев,2009-02-21,female,8383 993389,enrolled,2012-09-01,,+70218203700
126,Нонна,Дмитриевна,Семенова,2016-12-25,female,1342 807975,enrolled,2012-09-01,,+74059574239
127,Станимир,Ефимович,Муравьев,2010-02-13,male,4001 982958,enrolled,2012-09-01,,+79785028841
128,Фаина,Исидорович,Евдокимов,2011-12-29,female,9144 998048,enrolled,2012-09-01,,+78819706356
129,Нестор,Степановна,Мухина,2010-01-29,male,1164 652482,enrolled,2012-09-01,,+78949766901
130,Ростислав,Вилорович,Ларионов,2016-04-06,male,1783 583198,enrolled,2012-09-01,,+72035618855
131,Лукия,Ниловна,Носков,2015-05-06,female,9760 787141,enrolled,2012-09-01,,+76078129883
132,Викторин,Игоревна,Крюкова,2007-10-02,male,6644 568249,enrolled,2012-09-01,,+75469860041
133,Ангелина,Романовна,Ефремова,2015-09-10,female,7220 520475,enrolled,2012-09-01,,+73653045149
134,Любовь,Юльевич,Виноградова,2011-12-16,female,3870 946611,enrolled,2012-09-01,,+74994872325
135,Юлия,Жоресович,Костина,2009-03-21,female,3807 178515,enrolled,2012-09-01,,+74180007803
136,Клавдия,Степановна,Дроздова,2017-06-17,female,2171 483479,enrolled,2012-09-01,,+74453434529
137,Платон,Ефремович,Соколов,2010-11-03,male,4010 646388,enrolled,2012-09-01,,+79276557992
138,Остромир,Дмитриевич,Игнатьев,2010-11-30,male,7692 561284,enrolled,2012-09-01,,+78492697798
139,Ираида,Юлианович,Федорова,2012-07-06,female,3307 237088,enrolled,2012-09-01,,+73478457196
140,Сократ,Анатольевна,Филиппов,2011-04-12,male,3552 307855,enrolled,2012-09-01,,+74407309669
141,Савва,Иларионович,Новиков,2014-09-22,male,1630 452793,enrolled,2012-09-01,,+72728548090
142,Зинаида,Гаврилович,Кудрявцев,2007-10-29,female,3508 623498,enrolled,2012-09-01,,+78625096640
143,Ирина,Гертрудович,Макаров,2008-12-09,female,4450 939971,enrolled,2012-09-01,,+70894252788
144,Анжелика,Бориславович,Прохоров,2014-04-29,female,2904 255404,enrolled,2012-09-01,,+74515457796
145,Радован,Яковлевич,Евсеева,2010-08-01,male,3755 946963,enrolled,2012-09-01,,+78369847346
146,Любим,Валентиновна,Горшков,2014-05-22,male,7439 663604,enrolled,2012-09-01,,+75859745137
147,Афанасий,Кузьминична,Ситникова,2015-05-22,male,8936 501822,enrolled,2012-09-01,,+70484186897
148,Клавдия,Иосипович,Горбачева,2010-08-22,female,4540 360551,enrolled,2012-09-01,,+74402957687
149,Варвара,Альбертовна,Панфилов,2012-09-08,female,4955 530055,enrolled,2012-09-01,,+72211487227
150,Эмилия,Харлампович,Фокин,2014-10-09,female,7591 144953,enrolled,2012-09-01,,+78465354520
151,Прасковья,Харламович,Красильников,2015-08-08,female,6602 126989,enrolled,2012-09-01,,+70292619614
152,Фрол,Федосеевич,Рогова,2016-11-06,male,1251 142609,enrolled,2013-09-01,,+75569281868
153,Ольга,Дмитриевна,Воронова,2015-06-20,female,1181 716473,enrolled,2013-09-01,,+79503107694
154,Любим,Архиповна,Трофимов,2007-11-04,male,8394 113541,enrolled,2013-09-01,,+73435361617
155,Святополк,Архипович,Дорофеев,2013-04-29,male,7856 959040,enrolled,2013-09-01,,+70420717095
156,Велимир,Юрьевна,Андреева,2012-01-26,male,3661 604112,enrolled,2013-09-01,,+72123418234
157,Евпраксия,Абрамович,Гуляев,2018-11-11,female,2101 643610,enrolled,2013-09-01,,+76243180727
158,Ладислав,Викторович,Дорофеев,2010-06-23,male,6161 156512,enrolled,2013-09-01,,+73473866207
159,Нифонт,Августович,Агафонова,2007-11-02,male,7490 483317,enrolled,2013-09-01,,+72610253809
160,Вероника,Гордеевич,Лихачева,2008-01-01,female,4678 678370,enrolled,2013-09-01,,+72324241430
161,Вероника,Гаврилович,Крылова,2019-04-10,female,2608 442086,enrolled,2013-09-01,,+79333511623
162,Евгения,Власович,Лазарев,2011-08-03,female,9394 499593,enrolled,2013-09-01,,+75715522512
163,Тамара,Трофимович,Соболева,2011-05-12,female,6499 730800,enrolled,2013-09-01,,+74083139830
164,Вера,Анатольевич,Брагина,2018-10-13,female,3526 855968,enrolled,2013-09-01,,+78628892000
165,Радислав,Васильевич,Тарасова,2017-04-28,male,3629 541934,enrolled,2013-09-01,,+71984237976
166,Акулина,Феликсовна,Лебедева,2010-12-25,female,2657 650649,enrolled,2013-09-01,,+73096807913
167,Таисия,Антипович,Зимина,2017-05-19,female,9224 647434,enrolled,2013-09-01,,+74328649670
168,Антонин,Руслановна,Воронцов,2016-06-05,male,2109 712651,enrolled,2013-09-01,,+74327025507
169,Парамон,Владимировна,Морозов,2019-01-13,male,1252 166985,enrolled,2013-09-01,,+75651089369
170,Радим,Андреевна,Тихонова,2010-08-25,male,7996 222920,enrolled,2013-09-01,,+71049649031
171,Жанна,Ермилович,Орехов,2010-01-25,female,4450 789926,enrolled,2013-09-01,,+72279013526
172,Константин,Вениаминовна,Дмитриева,2011-07-15,male,1979 784781,enrolled,2013-09-01,,+79861789174
173,Прасковья,Натановна,Гущин,2007-09-07,female,2414 440223,enrolled,2013-09-01,,+70842198727
174,Моисей,Витальевич,Никонова,2014-06-23,male,9598 938349,enrolled,2013-09-01,,+72757041502
175,Илья,Макаровна,Новикова,2017-04-06,male,1653 501630,enrolled,2013-09-01,,+70278326514
176,Марфа,Ильич,Котов,2016-04-09,female,6496 987401,enrolled,2013-09-01,,+76000918066
177,Анжела,Викторович,Киселев,2013-04-13,female,4506 499472,enrolled,2013-09-01,,+72991889631
178,Владлен,Феоктистович,Борисова,2010-04-08,male,4037 538790,enrolled,2013-09-01,,+78321059402
179,Марк,Фокич,Селиверстов,2016-11-14,male,9054 763935,enrolled,2013-09-01,,+74566317812
180,Ульяна,Максимовна,Терентьева,2012-01-27,female,3189 167206,enrolled,2013-09-01,,+77529368668
181,Феврония,Альбертовна,Егоров,2011-08-21,female,4459 836519,enrolled,2013-09-01,,+73939805811
182,Пахом,Елизарович,Шарапов,2008-12-08,male,8161 161161,enrolled,2013-09-01,,+74049098452
183,Варвара,Тихонович,Кириллова,2019-04-18,female,2292 717644,enrolled,2013-09-01,,+74121379304
184,Регина,Фомич,Воронова,2012-02-13,female,9691 203326,enrolled,2013-09-01,,+77945757763
185,Алина,Игоревна,Захаров,2014-09-28,female,7888 766083,enrolled,2013-09-01,,+77222186490
186,Ирина,Филиппович,Николаев,2012-12-06,female,4866 354739,enrolled,2013-09-01,,+77288939966
187,Наина,Иларионович,Захарова,2011-03-26,female,7163 739387,enrolled,2013-09-01,,+70572857611
188,Октябрина,Ивановна,Беспалов,2008-07-23,female,5652 453543,enrolled,2013-09-01,,+75464908039
189,Семен,Аверьянович,Аксенова,2007-09-27,male,5819 951898,enrolled,2013-09-01,,+76128955244
190,Пелагея,Федоровна,Котова,2017-04-30,female,4017 439803,enrolled,2013-09-01,,+75360305842
191,Валерий,Дмитриевна,Терентьев,2016-12-14,male,7783 729393,enrolled,2013-09-01,,+78565561841
192,Доброслав,Георгиевич,Нестерова,2007-12-10,male,7601 422510,enrolled,2013-09-01,,+72755207505
193,Ульяна,Харламович,Горбунов,2013-05-31,female,6011 436966,enrolled,2013-09-01,,+72859006037
194,Казимир,Филатович,Филатов,2016-06-15,male,6008 992150,enrolled,2013-09-01,,+70034328655
195,Анна,Власович,Тихонов,2010-01-22,female,1772 320490,enrolled,2013-09-01,,+72977489539
196,Пимен,Геннадиевна,Осипова,2008-06-07,male,1704 208175,enrolled,2013-09-01,,+76285552743
197,Евдокия,Иларионович,Андреев,2008-05-21,female,9505 855942,enrolled,2013-09-01,,+74892204678
198,Федот,Теймуразович,Исаев,2017-04-17,male,3089 172439,enrolled,2013-09-01,,+77983545468
199,Изот,Яковлевна,Семенова,2009-10-14,male,4746 218315,enrolled,2013-09-01,,+75273480979
200,Лора,Власович,Кузьмина,2014-10-05,female,1736 993817,enrolled,2013-09-01,,+75237517844
201,Никанор,Абрамович,Комарова,2010-03-12,male,5122 928542,enrolled,2013-09-01,,+74325417844
202,Осип,Елисеевич,Кононов,2014-04-22,male,3459 565281,enrolled,2013-09-01,,+73484413018
203,Елизавета,Викторовна,Буров,2015-09-09,female,8206 457052,enrolled,2013-09-01,,+75792210801
204,Твердислав,Авдеевич,Красильников,2008-07-08,male,6340 467688,enrolled,2014-09-01,,+76658626745
205,Аристарх,Алексеевна,Денисова,2011-07-16,male,2681 293921,enrolled,2014-09-01,,+73030908673
206,Маргарита,Ерофеевич,Ларионова,2011-07-11,female,6590 856819,enrolled,2014-09-01,,+75089285864
207,Феврония,Трифонович,Комарова,2009-04-22,female,6580 597758,enrolled,2014-09-01,,+74356486941
208,Евпраксия,Власович,Михеева,2013-11-24,female,4769 770497,enrolled,2014-09-01,,+79512097534
209,Октябрина,Ефстафьевич,Субботина,2007-09-10,female,4066 656109,enrolled,2014-09-01,,+78295451088
210,Наина,Захаровна,Пономарева,2016-02-20,female,2946 508306,enrolled,2014-09-01,,+79375023668
211,Руслан,Игоревич,Юдин,2019-04-07,male,3887 404285,enrolled,2014-09-01,,+71417839602
212,Януарий,Кузьминична,Шашкова,2010-10-21,male,3188 361818,enrolled,2014-09-01,,+76494696977
213,Анна,Вячеславовна,Зыков,2014-07-22,female,2943 344526,enrolled,2014-09-01,,+76542174946
214,Афиноген,Матвеевна,Наумов,2008-04-25,male,2915 355924,enrolled,2014-09-01,,+74088164981
215,Милий,Борисович,Марков,2017-05-12,male,4105 429987,enrolled,2014-09-01,,+74461478915
216,Фаина,Германович,Козлов,2014-02-27,female,9534 834046,enrolled,2014-09-01,,+72336853660
217,Клавдия,Арсенович,Ермакова,2009-06-03,female,6119 332178,enrolled,2014-09-01,,+77555404323
218,Агата,Георгиевна,Селезнев,2010-09-20,female,5181 449938,enrolled,2014-09-01,,+70560715547
219,Лукия,Ермилович,Архипова,2012-04-10,female,3258 211493,enrolled,2014-09-01,,+72743012979
220,Савелий,Андреевич,Шаров,2015-03-28,male,9065 770287,enrolled,2014-09-01,,+79900721586
221,Аверкий,Артемьевич,Пахомова,2008-06-05,male,1624 801551,enrolled,2014-09-01,,+77217123772
222,Аникита,Владленович,Гуляева,2013-10-02,male,7022 817327,enrolled,2014-09-01,,+74440600743
223,Ратмир,Дорофеевич,Афанасьев,2015-02-12,male,4125 642859,enrolled,2014-09-01,,+78460416253
224,Кондрат,Владиленович,Зуева,2012-11-25,male,2455 808961,enrolled,2014-09-01,,+78773562077
225,Антонина,Иларионович,Котова,2013-12-09,female,2804 680073,enrolled,2014-09-01,,+74011643933
226,Анжелика,Юльевич,Новиков,2014-02-13,female,7693 169185,enrolled,2014-09-01,,+72394377907
227,Геннадий,Ниловна,Гаврилова,2017-12-18,male,1498 707552,enrolled,2014-09-01,,+72150357650
228,Яков,Сергеевна,Хохлов,2015-06-16,male,7223 760431,enrolled,2014-09-01,,+79098939544
229,Клавдий,Антонович,Карпова,2018-08-05,male,8559 473241,enrolled,2014-09-01,,+74407757628
230,Ратмир,Даниилович,Федотова,2015-02-18,male,3022 283508,enrolled,2014-09-01,,+73342730090
231,Евгения,Андреевна,Романов,2015-07-25,female,9175 363082,enrolled,2014-09-01,,+78728440777
232,Агата,Богдановна,Меркушева,2010-12-11,female,6344 367058,enrolled,2014-09-01,,+78351737831
233,Юлия,Валентинович,Вишнякова,2009-08-22,female,2801 511865,enrolled,2014-09-01,,+73381094146
234,Ян,Анатольевна,Морозова,2008-01-21,male,2329 584253,enrolled,2014-09-01,,+75812693300
235,Нонна,Натановна,Зыкова,2014-08-01,female,6101 660715,enrolled,2014-09-01,,+70462930749
236,Ираклий,Евсеевич,Крюков,2013-05-20,male,3410 332801,enrolled,2014-09-01,,+70896110644
237,Федот,Матвеевна,Прохоров,2009-12-28,male,8245 829066,enrolled,2014-09-01,,+74716030054
238,Любовь,Димитриевич,Зуева,2016-11-07,female,2776 439640,enrolled,2014-09-01,,+71489455265
239,Фаина,Никифоровна,Силина,2015-10-03,female,2461 465998,enrolled,2014-09-01,,+71711884829
240,Александра,Алексеевна,Абрамов,2014-09-29,female,4110 252851,enrolled,2014-09-01,,+71619900449
241,Фома,Ермилович,Исаков,2008-08-16,male,5610 644499,enrolled,2014-09-01,,+70418433858
242,Ирина,Андреевна,Данилова,2013-02-19,female,7705 527192,enrolled,2014-09-01,,+72721092432
243,Людмила,Геннадиевич,Рожков,2014-11-01,female,1503 224834,enrolled,2014-09-01,,+71291159857
244,Елисей,Евстигнеевич,Осипов,2011-11-22,male,6266 843053,enrolled,2014-09-01,,+79401198647
245,Наина,Константиновна,Архипов,2011-03-30,female,2333 180396,enrolled,2014-09-01,,+75703644922
246,Арсений,Феофанович,Михайлова,2014-11-10,male,3054 615317,enrolled,2014-09-01,,+74187074951
247,Радим,Даниилович,Лыткина,2015-06-22,male,2716 351314,enrolled,2014-09-01,,+76930689131
248,Валентина,Мироновна,Блохин,2018-02-20,female,1404 747333,enrolled,2014-09-01,,+75086578044
249,Анна,Феофанович,Ильин,2015-01-01,female,2720 168070,enrolled,2014-09-01,,+73337510151
250,Юрий,Димитриевич,Михеев,2012-06-10,male,7133 754796,enrolled,2014-09-01,,+70698665393
251,Прохор,Эдгардович,Бобылев,2017-06-14,male,2875 177482,enrolled,2014-09-01,,+74970842552
252,Севастьян,Руслановна,Жданова,2010-02-12,male,1687 699327,enrolled,2014-09-01,,+70810699261
253,Павел,Николаевна,Яковлева,2010-07-09,male,9441 571520,enrolled,2015-09-01,,+75375396093
254,Алина,Федоровна,Мясников,2015-04-23,female,1345 574939,enrolled,2015-09-01,,+75198073891
255,Остромир,Гертрудович,Комарова,2015-09-16,male,1025 371919,enrolled,2015-09-01,,+79345604499
256,Леонид,Аверьянович,Игнатьев,2018-01-11,male,9613 481697,enrolled,2015-09-01,,+72450247345
257,Владимир,Феоктистович,Алексеева,2011-01-16,male,4402 213566,enrolled,2015-09-01,,+71689172508
258,Кира,Демидович,Бирюкова,2011-02-12,female,7004 842051,enrolled,2015-09-01,,+76313079462
259,Святополк,Артёмович,Киселев,2007-09-08,male,1177 243027,enrolled,2015-09-01,,+78157527354
260,Кондрат,Владиславовна,Куликов,2015-10-04,male,1675 843997,enrolled,2015-09-01,,+70227619085
261,Остромир,Демьянович,Ефимова,2008-02-02,male,9471 764677,enrolled,2015-09-01,,+79275141725
262,Валентина,Даниилович,Шашков,2016-07-18,female,6812 712595,enrolled,2015-09-01,,+74691721793
263,Марина,Ивановна,Федотов,2018-02-14,female,8798 936215,enrolled,2015-09-01,,+76563398353
